Date_of_Journey,Airline,Source,Destination,Product,Customer,Booking
2021-11-11,FlyDubai,Chennai,Dubai,Business,First Flyer,25.33425856191958
2021-11-12,FlyDubai,Chennai,Dubai,Business,First Flyer,26.539241085286942
2021-11-13,FlyDubai,Chennai,Dubai,Business,First Flyer,26.923921462269796
2021-11-14,FlyDubai,Chennai,Dubai,Business,First Flyer,28.442138419244216
2021-11-15,FlyDubai,Chennai,Dubai,Business,First Flyer,27.480517736273804
2021-11-16,FlyDubai,Chennai,Dubai,Business,First Flyer,28.34513560673605
2021-11-17,FlyDubai,Chennai,Dubai,Business,First Flyer,28.017872978759645
2021-11-18,FlyDubai,Chennai,Dubai,Business,First Flyer,25.383786514580827
2021-11-19,FlyDubai,Chennai,Dubai,Business,First Flyer,26.58876903795298
2021-11-20,FlyDubai,Chennai,Dubai,Business,First Flyer,26.973449414936816
2021-11-21,FlyDubai,Chennai,Dubai,Business,First Flyer,28.491666371912082
2021-11-22,FlyDubai,Chennai,Dubai,Business,First Flyer,27.530045688936568
2021-11-23,FlyDubai,Chennai,Dubai,Business,First Flyer,28.394663559401092
2021-11-24,FlyDubai,Chennai,Dubai,Business,First Flyer,28.067400931420956
2021-11-25,FlyDubai,Chennai,Dubai,Business,First Flyer,25.433314467247943
2021-11-26,FlyDubai,Chennai,Dubai,Business,First Flyer,26.638296990614514
2021-11-27,FlyDubai,Chennai,Dubai,Business,First Flyer,27.022977367603833
2021-11-28,FlyDubai,Chennai,Dubai,Business,First Flyer,28.541194324576992
2021-11-29,FlyDubai,Chennai,Dubai,Business,First Flyer,27.579573641607848
2021-11-30,FlyDubai,Chennai,Dubai,Business,First Flyer,28.44419151207086
2021-12-01,FlyDubai,Chennai,Dubai,Business,First Flyer,28.11692888409755
2021-12-02,FlyDubai,Chennai,Dubai,Business,First Flyer,25.482842419915062
